rank,username,strategy_id,final_equity,pnl,return_pct,trades,active_days,qualified,simulated
1,momentum_max,momentum-rider,133733.14,33733.14,33.73,48,10,True,True
2,favorite_holder,hold-to-settle-favorite,116070.93,16070.93,16.07,36,6,True,True
3,volume_scout,volume-breakout,99030.17,-969.83,-0.97,7,6,True,True
4,tail_hunter,contrarian-longshot,94057.69,-5942.31,-5.94,6,6,True,True
5,reversion_ranger,mean-reversion-fade,76544.78,-23455.22,-23.46,17,10,True,True
6,fundamentals_first,rating-differential,36432.81,-63567.19,-63.57,51,13,True,True
7,polls_plus,polls-plus-blend,23153.06,-76846.94,-76.85,51,13,True,True
8,spread_keeper,market-maker-lite,16003.0,-83997.0,-84.0,124,22,True,True
