date,kind,key,detail,value,usable_that_day,note
2026-09-20,crosslayer,SENATE-MN-2026,metaculus 0.92,0.92,no,ticket SENATEMN-26-D snapshotMid 0.9035
2026-09-20,crosslayer,SENATE-AK-2026,metaculus 0.54,0.54,no,ticket SENATEAK-26-D snapshotMid 0.695
2026-09-20,crosslayer,SENATE-CONTROL-2026,metaculus 0.5,0.5,no,ticket CONTROLS-2026-D snapshotMid 0.605
2026-09-20,crosslayer,HOUSE-CONTROL-2026,metaculus 0.9,0.9,no,ticket CONTROLH-2026-D snapshotMid 0.9085
2026-09-20,crosslayer,SENATE-RI-2026,metaculus 0.99,0.99,no,ticket SENATERI-26-D snapshotMid 0.982
2026-09-20,crosslayer,SENATE-OR-2026,metaculus 0.99,0.99,no,ticket SENATEOR-26-D snapshotMid 0.977
2026-09-20,crosslayer,SENATE-CO-2026,metaculus 0.98,0.98,no,ticket SENATECO-26-D snapshotMid 0.973
2026-09-20,crosslayer,SENATE-MN-2026,metaculus 0.93,0.93,no,ticket SENATEMN-26-D snapshotMid 0.902
2026-09-20,crosslayer,GOVERNOR-HI-2026,metaculus 0.98,0.98,no,ticket GOVPARTYHI-26-D snapshotMid 0.974
2026-09-20,crosslayer,GOVERNOR-NM-2026,metaculus 0.922,0.922,no,ticket GOVPARTYNM-26-D snapshotMid 0.928
2026-09-20,crosslayer,GOVERNOR-OR-2026,metaculus 0.88,0.88,no,ticket GOVPARTYOR-26-D snapshotMid 0.86
2026-09-20,crosslayer,GOVERNOR-MI-2026,metaculus 0.85,0.85,no,ticket GOVPARTYMI-26-D snapshotMid 0.9165
2026-09-20,crosslayer,SENATE-AK-2026,metaculus 0.54,0.54,no,ticket SENATEAK-26-D snapshotMid 0.705
2026-09-20,crosslayer,SENATE-MT-2026,metaculus 0.01,0.01,no,ticket SENATEMT-26-D snapshotMid 0.01
2026-09-20,crosslayer,SENATE-NE-2026,metaculus 0.001,0.001,no,ticket SENATENE-26-D snapshotMid 0.0025
2026-09-20,crosslayer,SENATE-CONTROL-2026,metaculus 0.512,0.512,no,ticket CONTROLS-2026-D snapshotMid 0.605
2026-09-20,crosslayer,HOUSE-CONTROL-2026,metaculus 0.908,0.908,no,ticket CONTROLH-2026-D snapshotMid 0.9065
2026-09-20,crosslayer,SENATE-RI-2026,metaculus 0.99,0.99,no,ticket SENATERI-26-D snapshotMid 0.9825
2026-09-20,crosslayer,SENATE-OR-2026,metaculus 0.99,0.99,no,ticket SENATEOR-26-D snapshotMid 0.977
2026-09-20,crosslayer,SENATE-CO-2026,metaculus 0.98,0.98,no,ticket SENATECO-26-D snapshotMid 0.973
2026-09-20,crosslayer,SENATE-MN-2026,metaculus 0.93,0.93,no,ticket SENATEMN-26-D snapshotMid 0.905
2026-09-20,crosslayer,GOVERNOR-HI-2026,metaculus 0.98,0.98,no,ticket GOVPARTYHI-26-D snapshotMid 0.974
2026-09-20,crosslayer,GOVERNOR-NM-2026,metaculus 0.928,0.928,no,ticket GOVPARTYNM-26-D snapshotMid 0.931
2026-09-20,crosslayer,GOVERNOR-OR-2026,metaculus 0.882,0.882,no,ticket GOVPARTYOR-26-D snapshotMid 0.86
2026-09-20,crosslayer,GOVERNOR-MI-2026,metaculus 0.84,0.84,no,ticket GOVPARTYMI-26-D snapshotMid 0.923
2026-09-20,crosslayer,SENATE-AK-2026,metaculus 0.54,0.54,no,ticket SENATEAK-26-D snapshotMid 0.735
2026-09-20,crosslayer,SENATE-MT-2026,metaculus 0.01,0.01,no,ticket SENATEMT-26-D snapshotMid 0.009
2026-09-20,crosslayer,SENATE-NE-2026,metaculus 0.001,0.001,no,ticket SENATENE-26-D snapshotMid 0.002
2026-09-20,crosslayer,SENATE-GA-2026,metaculus 0.92,0.92,no,ticket SENATEGA-26-D snapshotMid 0.9385
2026-09-20,crosslayer,SENATE-CONTROL-2026,metaculus 0.531,0.531,no,ticket CONTROLS-2026-D snapshotMid 0.625
2026-09-20,crosslayer,HOUSE-CONTROL-2026,metaculus 0.906,0.906,no,ticket CONTROLH-2026-D snapshotMid 0.9095
2026-09-20,crosslayer,SENATE-RI-2026,metaculus 0.99,0.99,no,ticket SENATERI-26-D snapshotMid 0.9865
2026-09-20,crosslayer,SENATE-OR-2026,metaculus 0.99,0.99,no,ticket SENATEOR-26-D snapshotMid 0.977
2026-09-20,crosslayer,SENATE-CO-2026,metaculus 0.98,0.98,no,ticket SENATECO-26-D snapshotMid 0.9735
2026-09-20,crosslayer,SENATE-GA-2026,metaculus 0.92,0.92,no,ticket SENATEGA-26-D snapshotMid 0.9385
2026-09-20,crosslayer,GOVERNOR-HI-2026,metaculus 0.98,0.98,no,ticket GOVPARTYHI-26-D snapshotMid 0.973
2026-09-20,crosslayer,GOVERNOR-NM-2026,metaculus 0.928,0.928,no,ticket GOVPARTYNM-26-D snapshotMid 0.931
2026-09-20,crosslayer,GOVERNOR-OR-2026,metaculus 0.882,0.882,no,ticket GOVPARTYOR-26-D snapshotMid 0.855
2026-09-20,crosslayer,GOVERNOR-MI-2026,metaculus 0.84,0.84,no,ticket GOVPARTYMI-26-D snapshotMid 0.9235
2026-09-20,crosslayer,SENATE-AK-2026,metaculus 0.54,0.54,no,ticket SENATEAK-26-D snapshotMid 0.755
2026-09-20,crosslayer,SENATE-MT-2026,metaculus 0.01,0.01,no,ticket SENATEMT-26-D snapshotMid 0.012
2026-09-20,crosslayer,SENATE-NE-2026,metaculus 0.002,0.002,no,ticket SENATENE-26-D snapshotMid 0.0025
2026-09-20,crosslayer,SENATE-NC-2026,metaculus 0.92,0.92,no,ticket SENATENC-26-D snapshotMid 0.9365
2026-09-21,poll,cnn-ssrs-2026-09-me-senate,U.S. Senate — Maine CNN Poll conducted by SSRS,0.6608,no,margin 3pp -> logistic k=4.5; ticket SENATEME-26-D
2026-09-21,poll,cnn-ssrs-2026-09-mi-senate,U.S. Senate — Michigan (open seat) CNN Poll conducted by SSRS,0.6608,no,margin 3pp -> logistic k=4.5; ticket SENATEMI-26-D
