date,username,ticker,series,action,side,shares,price,fee,pnl,executed_at,fill_cap_applied
2026-09-19,favorite-cash,KXVOTEGENERAL-HOUSETX15-26BPUL-46,KXVOTEGENERAL,enter,YES,8.55,0.84,0.0805,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-HOUSETX15-26BPUL-48,KXVOTEGENERAL,enter,YES,4.27,0.74,0.0576,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSEMO5-26ECLE-52,KXVOTEGENERAL,enter,YES,4.27,0.95,0.0142,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-IN02-26RYAK-56,KXVOTEGENERAL,enter,YES,2.13,0.82,0.0221,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-IN05-26VSPA-48,KXVOTEGENERAL,enter,YES,8.76,0.98,0.0121,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-MN07-26EOSB-30,KXVOTEGENERAL,enter,YES,1.15,0.95,0.0039,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-MN07-26EOSB-32,KXVOTEGENERAL,enter,YES,0.59,0.88,0.0044,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-NDAL-26JFED-56,KXVOTEGENERAL,enter,YES,3.35,0.97,0.0069,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-NY21-26BGEN-38,KXVOTEGENERAL,enter,YES,0.85,0.98,0.0012,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TN06-26JGAR-56,KXVOTEGENERAL,enter,YES,0.02,0.94,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX23-26KSTO-42,KXVOTEGENERAL,enter,YES,8.55,0.96,0.023,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX27-26MCLO-52,KXVOTEGENERAL,enter,YES,8.55,0.91,0.0491,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX27-26MCLO-54,KXVOTEGENERAL,enter,YES,8.55,0.81,0.0922,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX30-26EJAC-18,KXVOTEGENERAL,enter,YES,5.43,0.87,0.043,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX30-26FHAY-70,KXVOTEGENERAL,enter,YES,13,0.96,0.035,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX30-26FHAY-72,KXVOTEGENERAL,enter,YES,4.27,0.89,0.0293,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX30-26FHAY-74,KXVOTEGENERAL,enter,YES,4.27,0.79,0.0496,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-TX30-26FHAY-76,KXVOTEGENERAL,enter,YES,8.55,0.79,0.0993,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-UT04-26SBUR-1,KXVOTEGENERAL,enter,YES,8.55,0.98,0.0118,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-VA04-26JMCC-68,KXVOTEGENERAL,enter,YES,8.55,0.84,0.0805,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-KXHOUSERACE-VA04-26RMUR-22,KXVOTEGENERAL,enter,YES,8.55,0.78,0.1028,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-SENATEFLS-26AMOO-50,KXVOTEGENERAL,enter,YES,0.21,0.9,0.0014,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-SENATEFLS-26AMOO-52,KXVOTEGENERAL,enter,YES,0.21,0.73,0.0029,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-SENATENH-26JSUN-44,KXVOTEGENERAL,enter,YES,0.02,0.77,0.0003,,yes_ask,yes
2026-09-19,favorite-cash,SENATEAK-26-D,SENATEAK,enter,YES,19.05,0.7,0.2801,,yes_ask,yes
2026-09-19,favorite-cash,SENATEAR-26-R,SENATEAR,enter,YES,0.42,0.935,0.0018,,yes_ask,yes
2026-09-19,favorite-cash,SENATEDE-26-D,SENATEDE,enter,YES,85.52,0.99,0.0593,,yes_ask,yes
2026-09-19,favorite-cash,SENATEFLS-26-R,SENATEFLS,enter,YES,770.27,0.9,4.8528,,yes_ask,yes
2026-09-19,favorite-cash,SENATEGA-26-D,SENATEGA,enter,YES,210.15,0.94,0.8297,,yes_ask,yes
2026-09-19,favorite-cash,SENATEID-26-R,SENATEID,enter,YES,76.11,0.95,0.2531,,yes_ask,yes
2026-09-19,favorite-cash,SENATEIL-26-D,SENATEIL,enter,YES,2.51,0.989,0.002,,yes_ask,yes
2026-09-19,favorite-cash,SENATEKS-26-R,SENATEKS,enter,YES,1343.93,0.74,18.1001,,yes_ask,yes
2026-09-19,favorite-cash,SENATELA-26-R,SENATELA,enter,YES,2.29,0.947,0.0081,,yes_ask,yes
2026-09-19,favorite-cash,SENATEMA-26-D,SENATEMA,enter,YES,0.79,0.98,0.0011,,yes_ask,yes
2026-09-19,favorite-cash,SENATEME-26-D,SENATEME,enter,YES,98.77,0.68,1.5045,,yes_ask,yes
2026-09-19,favorite-cash,SENATEMN-26-D,SENATEMN,enter,YES,234.83,0.904,1.4266,,yes_ask,yes
2026-09-19,favorite-cash,SENATEMT-26-R,SENATEMT,enter,YES,4.53,0.921,0.0231,,yes_ask,yes
2026-09-19,favorite-cash,SENATENC-26-D,SENATENC,enter,YES,14.9,0.927,0.0706,,yes_ask,yes
2026-09-19,favorite-cash,SENATENE-26-R,SENATENE,enter,YES,84.75,0.69,1.269,,yes_ask,yes
2026-09-19,favorite-cash,SENATENH-26-D,SENATENH,enter,YES,89.12,0.84,0.8385,,yes_ask,yes
2026-09-19,favorite-cash,SENATERI-26-D,SENATERI,enter,YES,103.92,0.984,0.1146,,yes_ask,yes
2026-09-19,favorite-cash,SENATESC-26-R,SENATESC,enter,YES,164.46,0.87,1.3021,,yes_ask,yes
2026-09-19,favorite-cash,SENATESD-26-R,SENATESD,enter,YES,2.81,0.925,0.0137,,yes_ask,yes
2026-09-19,favorite-cash,SENATETN-26-R,SENATETN,enter,YES,0.25,0.978,0.0004,,yes_ask,yes
2026-09-20,favorite-cash,GOVPARTYNM-26-D,GOVPARTYNM,enter,YES,6.55,0.937,0.0271,,yes_ask,yes
2026-09-20,favorite-cash,GOVPARTYOK-26-R,GOVPARTYOK,enter,YES,13.71,0.913,0.0763,,yes_ask,yes
2026-09-20,favorite-cash,GOVPARTYPA-26-D,GOVPARTYPA,enter,YES,1.09,0.973,0.0021,,yes_ask,yes
2026-09-20,favorite-cash,GOVPARTYRI-26-D,GOVPARTYRI,enter,YES,0.5,0.979,0.0008,,yes_ask,yes
2026-09-20,favorite-cash,GOVPARTYVT-26-R,GOVPARTYVT,enter,YES,2.21,0.943,0.0084,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEAZ6-26-D,HOUSEAZ6,enter,YES,6.08,0.82,0.0629,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEIL17-26-D,HOUSEIL17,enter,YES,1,0.949,0.0034,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEMI10-26-D,HOUSEMI10,enter,YES,24.47,0.66,0.3844,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEMI3-26-D,HOUSEMI3,enter,YES,1.5,0.944,0.0056,,yes_ask,yes
2026-09-20,favorite-cash,HOUSENV3-26-D,HOUSENV3,enter,YES,0.05,0.944,0.0002,,yes_ask,yes
2026-09-20,favorite-cash,HOUSENY3-26-D,HOUSENY3,enter,YES,1.05,0.91,0.0061,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEOH1-26-D,HOUSEOH1,enter,YES,1123,0.86,9.4647,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEPA10-26-D,HOUSEPA10,enter,YES,105.06,0.8,1.1767,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEVA2-26-D,HOUSEVA2,enter,YES,30.06,0.8,0.3367,,yes_ask,yes
2026-09-20,favorite-cash,HOUSEWA3-26-D,HOUSEWA3,enter,YES,13.2,0.905,0.0795,,yes_ask,yes
2026-09-20,favorite-cash,KXAKSENGOVCOMBO-26NOV-DEMDEM,KXAKSENGOVCOMBO,enter,YES,108.3,0.71,1.561,,yes_ask,yes
2026-09-20,favorite-cash,KXALASKAHOUSE-26-NBEG,KXALASKAHOUSE,enter,YES,0.09,0.85,0.0009,,yes_ask,yes
2026-09-20,favorite-cash,KXATTYGENNY-26-D,KXATTYGENNY,enter,YES,0.13,0.97,0.0003,,yes_ask,yes
2026-09-20,favorite-cash,KXCALIFORNIALEAVE-27-PTHI,KXCALIFORNIALEAVE,enter,YES,0.02,0.84,0.0002,,yes_ask,yes
2026-09-20,favorite-cash,KXDHOUSESEATSDIR-27-A220,KXDHOUSESEATSDIR,enter,YES,23.83,0.84,0.2242,,yes_ask,yes
2026-09-20,favorite-cash,KXEXITPOLL-IND-DEM,KXEXITPOLL,enter,YES,0.2,0.95,0.0007,,yes_ask,yes
2026-09-20,favorite-cash,KXEXITPOLL-LATMEN-DEM,KXEXITPOLL,enter,YES,0.1,0.98,0.0002,,yes_ask,yes
2026-09-20,favorite-cash,KXEXITPOLL-WCOLMEN-DEM,KXEXITPOLL,enter,YES,0.1,0.73,0.0014,,yes_ask,yes
2026-09-20,favorite-cash,KXEXITPOLL-WHIWOM-DEM,KXEXITPOLL,enter,YES,0.2,0.98,0.0003,,yes_ask,yes
2026-09-20,favorite-cash,KXEXITPOLL-WSUBWOM-DEM,KXEXITPOLL,enter,YES,0.1,0.69,0.0015,,yes_ask,yes
2026-09-20,favorite-cash,KXGENERALCOUNTY-GOVPARTYAZ-26-MARI,KXGENERALCOUNTY,enter,YES,10,0.98,0.0138,,yes_ask,yes
2026-09-20,favorite-cash,KXGENERALCOUNTY-SENATEMI-26-KEN,KXGENERALCOUNTY,enter,YES,2.1,0.87,0.0167,,yes_ask,yes
2026-09-20,favorite-cash,KXGENERALCOUNTY-SENATETX-26-COLL,KXGENERALCOUNTY,enter,YES,17.6,0.76,0.2248,,yes_ask,yes
2026-09-20,favorite-cash,KXGENERALCOUNTY-SENATETX-26-TARR,KXGENERALCOUNTY,enter,YES,1.1,0.96,0.003,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSEMO5-26-D,KXHOUSEMO5,enter,YES,46.2,0.938,0.1881,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-AZ08-26-R,KXHOUSERACE,enter,YES,0.5,0.86,0.0043,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-FL05-26-R,KXHOUSERACE,enter,YES,0.2,0.92,0.0011,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-FL21-26-R,KXHOUSERACE,enter,YES,6,0.919,0.0313,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-GA02-26-D,KXHOUSERACE,enter,YES,2.59,0.946,0.0093,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-ID01-26-R,KXHOUSERACE,enter,YES,10.24,0.965,0.0243,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-IL06-26-D,KXHOUSERACE,enter,YES,1,0.995,0.0004,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-IL08-26-D,KXHOUSERACE,enter,YES,4,0.945,0.0146,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-KS02-26-R,KXHOUSERACE,enter,YES,5,0.915,0.0273,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-KS03-26-D,KXHOUSERACE,enter,YES,1,0.965,0.0024,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-KY04-26-R,KXHOUSERACE,enter,YES,8.2,0.945,0.0299,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-MD01-26-R,KXHOUSERACE,enter,YES,1,0.92,0.0052,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-MO02-26-R,KXHOUSERACE,enter,YES,47.39,0.72,0.6688,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-MS04-26-R,KXHOUSERACE,enter,YES,1.4,0.992,0.0008,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NC03-26-R,KXHOUSERACE,enter,YES,2,0.88,0.0148,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NJ02-26-R,KXHOUSERACE,enter,YES,8.6,0.86,0.0725,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NJ03-26-D,KXHOUSERACE,enter,YES,5.1,0.965,0.0121,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NJ06-26-D,KXHOUSERACE,enter,YES,5,0.967,0.0112,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NM03-26-D,KXHOUSERACE,enter,YES,1,0.945,0.0037,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-NY01-26-R,KXHOUSERACE,enter,YES,0.5,0.78,0.0061,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-OR06-26-D,KXHOUSERACE,enter,YES,3,0.982,0.0038,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-PA04-26-D,KXHOUSERACE,enter,YES,5.2,0.953,0.0164,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-PA11-26-R,KXHOUSERACE,enter,YES,9.29,0.966,0.0214,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-SC01-26-R,KXHOUSERACE,enter,YES,14.49,0.71,0.2089,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-SDAL-26-R,KXHOUSERACE,enter,YES,1,0.969,0.0022,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-TN07-26-R,KXHOUSERACE,enter,YES,3.1,0.949,0.0106,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-TX03-26-R,KXHOUSERACE,enter,YES,4.3,0.94,0.017,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSERACE-TX24-26-R,KXHOUSERACE,enter,YES,7.6,0.902,0.0471,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSETX32-26-R,KXHOUSETX32,enter,YES,0.7,0.86,0.0059,,yes_ask,yes
2026-09-20,favorite-cash,KXHOUSETX9-26-R,KXHOUSETX9,enter,YES,16.14,0.88,0.1194,,yes_ask,yes
2026-09-20,favorite-cash,KXLOCALLAW-ILPOWER-27MAY01,KXLOCALLAW,enter,YES,0.05,0.71,0.0008,,yes_ask,yes
2026-09-20,favorite-cash,KXLTGOVVT-26-D,KXLTGOVVT,enter,YES,2,0.82,0.0207,,yes_ask,yes
2026-09-20,favorite-cash,KXMAGAINCSPEND-26DEC31-A100000000,KXMAGAINCSPEND,enter,YES,20,0.84,0.1882,,yes_ask,yes
2026-09-20,favorite-cash,KXMESENGOVCOMBO-26NOV-DEMDEM,KXMESENGOVCOMBO,enter,YES,1.41,0.69,0.0212,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-AZ01D-P2,KXMIDTERMMOV,enter,YES,13.02,0.901,0.0813,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-DESEND-P28,KXMIDTERMMOV,enter,YES,20,0.7,0.294,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-FL02R-P1,KXMIDTERMMOV,enter,YES,3.5,0.85,0.0313,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-FL10D-P24,KXMIDTERMMOV,enter,YES,7.5,0.998,0.0011,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-FLSENR-P4,KXMIDTERMMOV,enter,YES,15.88,0.73,0.2191,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-GASEND-P2,KXMIDTERMMOV,enter,YES,37.84,0.93,0.1725,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-GASEND-P6,KXMIDTERMMOV,enter,YES,0.01,0.7,0.0002,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-HI01D-P30,KXMIDTERMMOV,enter,YES,2,0.92,0.0104,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-HIGOVD-P32,KXMIDTERMMOV,enter,YES,39.99,0.8,0.4479,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-IL05D-P31,KXMIDTERMMOV,enter,YES,33,0.89,0.2262,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-IL06D-P5,KXMIDTERMMOV,enter,YES,1,0.981,0.0014,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-IL14D-P5,KXMIDTERMMOV,enter,YES,14,0.913,0.0779,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-IN01D-P6,KXMIDTERMMOV,enter,YES,2,0.83,0.0198,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-IN05R-P1,KXMIDTERMMOV,enter,YES,1,0.84,0.0095,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-LA01R-P23,KXMIDTERMMOV,enter,YES,14.79,0.68,0.2253,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA03D-P16,KXMIDTERMMOV,enter,YES,9,0.96,0.0242,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA03D-P25,KXMIDTERMMOV,enter,YES,9,0.68,0.1371,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA06D-P16,KXMIDTERMMOV,enter,YES,38,0.87,0.3009,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA06D-P25,KXMIDTERMMOV,enter,YES,38,0.69,0.569,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA08D-P31,KXMIDTERMMOV,enter,YES,1,0.9,0.0063,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MA09D-P14,KXMIDTERMMOV,enter,YES,1,0.79,0.0117,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MD07D-P51,KXMIDTERMMOV,enter,YES,3,0.99,0.0021,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MD07D-P60,KXMIDTERMMOV,enter,YES,12,0.69,0.1797,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MI08D-P11,KXMIDTERMMOV,enter,YES,2,0.82,0.0207,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MN03D-P16,KXMIDTERMMOV,enter,YES,14,0.942,0.0536,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-MO05D-P3,KXMIDTERMMOV,enter,YES,46,0.95,0.153,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-NCSEND-P1,KXMIDTERMMOV,enter,YES,112.1,0.98,0.1539,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-NJ10D-P54,KXMIDTERMMOV,enter,YES,2,0.83,0.0198,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-NYGOVD-P10,KXMIDTERMMOV,enter,YES,1.5,0.78,0.0181,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-NYGOVD-P4,KXMIDTERMMOV,enter,YES,20,0.91,0.1147,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-OKSENR-P17,KXMIDTERMMOV,enter,YES,1.1,0.98,0.0016,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-OR04D-P6,KXMIDTERMMOV,enter,YES,3.5,0.94,0.0139,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-ORGOVD-P2,KXMIDTERMMOV,enter,YES,1.23,0.98,0.0017,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-TN03R-P22,KXMIDTERMMOV,enter,YES,13.8,0.72,0.1948,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMMOV-TX31R-P8,KXMIDTERMMOV,enter,YES,20,0.78,0.2403,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMVOTETURN-CAGOV-10900000,KXMIDTERMVOTETURN,enter,YES,0.7,0.78,0.0085,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMVOTETURN-CAGOV-11500000,KXMIDTERMVOTETURN,enter,YES,0.35,0.78,0.0043,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMVOTETURN-TXSEN-8800000,KXMIDTERMVOTETURN,enter,YES,3.96,0.9,0.025,,yes_ask,yes
2026-09-20,favorite-cash,KXMIDTERMVOTETURN-TXSEN-9400000,KXMIDTERMVOTETURN,enter,YES,0.73,0.78,0.0088,,yes_ask,yes
2026-09-20,favorite-cash,KXPRESSSECANNOUNCE-26AUG-DEC01,KXPRESSSECANNOUNCE,enter,YES,34.54,0.91,0.1981,,yes_ask,yes
2026-09-20,favorite-cash,KXREDISTRICTING-26-TX,KXREDISTRICTING,enter,YES,22.46,0.98,0.0309,,yes_ask,yes
2026-09-20,favorite-cash,KXREPRODUCTIVEMEASURES-26-VA,KXREPRODUCTIVEMEASURES,enter,YES,0.1,0.99,0.0001,,yes_ask,yes
2026-09-20,favorite-cash,KXRGOVCOUNT-26JUL08-AL22,KXRGOVCOUNT,enter,YES,0.1,0.81,0.0011,,yes_ask,yes
2026-09-20,favorite-cash,KXRGOVCOUNT-26JUL08-AL23,KXRGOVCOUNT,enter,YES,0.1,0.7,0.0015,,yes_ask,yes
2026-09-20,favorite-cash,KXSENATELA-26NOV-R,KXSENATELA,enter,YES,2.1,0.942,0.0081,,yes_ask,yes
2026-09-20,favorite-cash,KXUSVIGOV-26-SPLA,KXUSVIGOV,enter,YES,0.2,0.87,0.0016,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVCA26LOSANGELESXBEC-66,KXVOTECOUNTY,enter,YES,178.46,0.74,2.4035,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYAZ26MARICOPAKHOB-48,KXVOTECOUNTY,enter,YES,52.85,0.97,0.1077,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYAZ26MARICOPAKHOB-50,KXVOTECOUNTY,enter,YES,112,0.92,0.5771,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYAZ26MARICOPAKHOB-52,KXVOTECOUNTY,enter,YES,24.6,0.81,0.2651,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYAZ26PIMAKHOB-58,KXVOTECOUNTY,enter,YES,28.57,0.96,0.0768,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26BROWARDDJOL-56,KXVOTECOUNTY,enter,YES,50,0.98,0.0686,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26BROWARDDJOL-58,KXVOTECOUNTY,enter,YES,119,0.87,0.9422,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26HILLSBOROUGHDJOL-48,KXVOTECOUNTY,enter,YES,94.61,0.88,0.6994,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26PALMBEACHDJOL-48,KXVOTECOUNTY,enter,YES,137,0.96,0.3683,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26PALMBEACHDJOL-50,KXVOTECOUNTY,enter,YES,40,0.9,0.252,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYFL26PALMBEACHDJOL-52,KXVOTECOUNTY,enter,YES,64.86,0.74,0.8736,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYIL26COOKJPRI-72,KXVOTECOUNTY,enter,YES,180.29,0.92,0.9289,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYNV26CLARKAFOR-46,KXVOTECOUNTY,enter,YES,20,0.92,0.1031,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYNV26CLARKAFOR-48,KXVOTECOUNTY,enter,YES,47.5,0.8,0.532,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYNY26NEWYORKKHOC-80,KXVOTECOUNTY,enter,YES,20,0.94,0.079,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYNY26NEWYORKKHOC-82,KXVOTECOUNTY,enter,YES,60.5,0.74,0.8149,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYWI26DANEDCRO-74,KXVOTECOUNTY,enter,YES,40,0.95,0.133,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYWI26DANEDCRO-76,KXVOTECOUNTY,enter,YES,241.52,0.84,2.2723,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYWI26MILWAUKEEDCRO-66,KXVOTECOUNTY,enter,YES,40,0.98,0.0549,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-GOVPARTYWI26MILWAUKEEDCRO-68,KXVOTECOUNTY,enter,YES,184.57,0.94,0.7287,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEGA26COBBJOSS-56,KXVOTECOUNTY,enter,YES,130.4,0.97,0.2657,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEGA26COBBJOSS-58,KXVOTECOUNTY,enter,YES,40,0.96,0.1076,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEGA26FULTONJOSS-72,KXVOTECOUNTY,enter,YES,45,0.98,0.0618,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEGA26GWINNETTJOSS-58,KXVOTECOUNTY,enter,YES,116.36,0.97,0.2371,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEGA26GWINNETTJOSS-60,KXVOTECOUNTY,enter,YES,40,0.91,0.2294,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26JOHNSONJTUR-68,KXVOTECOUNTY,enter,YES,40.76,0.98,0.056,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26JOHNSONJTUR-70,KXVOTECOUNTY,enter,YES,329.28,0.86,2.7752,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26LINNJTUR-52,KXVOTECOUNTY,enter,YES,94.92,0.98,0.1303,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26LINNJTUR-56,KXVOTECOUNTY,enter,YES,40,0.86,0.3372,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26POLKJTUR-56,KXVOTECOUNTY,enter,YES,58.09,0.92,0.2993,,yes_ask,yes
2026-09-20,favorite-cash,KXVOTECOUNTY-SENATEIA26POLKJTUR-58,KXVOTECOUNTY,enter,YES,40,0.76,0.5108,,yes_ask,yes
